idx,ix,iy,cx,cy,size,top_z
0,0,0,1.07950759,0.021102924,0.3999103094,0.1125733506
1,1,0,1.513170836,-0.2532799595,0.3875616859,0.1432311977
2,2,0,1.929337693,0.03269897527,0.4001372071,0.1876454245
3,3,0,2.227774834,-0.391755283,0.3814005604,0.2080999248
4,4,0,2.531671833,0.02054213148,0.3892125872,0.1976425035
5,5,0,2.811760855,-0.3877145304,0.3814495367,0.2055746738
6,6,0,3.096213773,0.02448196518,0.3826035105,0.2268259294
7,7,0,3.517129261,-0.2601402877,0.4108780294,0.2295094511
8,8,0,3.965427869,-0.006090965243,0.4039701571,0.2250661363
9,0,1,1.011508436,0.4540328181,0.4184294851,0.1202969375
10,1,1,1.508148011,0.3749729602,0.3893154049,0.1426966793
11,2,1,1.97354918,0.461080918,0.4146743928,0.1923936014
12,3,1,2.433374285,0.4550988026,0.3968239437,0.1995244763
13,4,1,2.887040297,0.4448144707,0.4018316289,0.2096917262
14,5,1,3.372933606,0.4490272666,0.3917172979,0.2321548434
15,6,1,3.889242997,0.42112876,0.3923417128,0.2208087612
16,-1,3,3.004146316,-0.8222688285,0.3428104178,0.2164024672
17,-1,3,1.09023354,-0.5370018724,0.3383305309,0.102074728
18,-1,3,4.03274317,-0.4682156191,0.3484375953,0.2238496969
19,-1,3,2.396824587,-0.7932706828,0.3343454508,0.2031666297
20,-1,3,1.758277962,-0.7349350113,0.3649608225,0.165054545
21,-1,3,1.54542391,0.7909678204,0.3460033582,0.1545800902
22,-1,3,3.540955694,-0.6763024211,0.3707145848,0.210601135
