idx,ix,iy,cx,cy,size,top_z
0,0,0,0.96,-0.63,0.4,0.15
1,0,1,0.96,-0.21,0.4,0.15
2,0,2,0.96,0.21,0.4,0.15
3,0,3,0.96,0.63,0.4,0.15
4,1,0,1.38,-0.63,0.4,0.15
5,1,1,1.38,-0.21,0.4,0.15
6,1,2,1.38,0.21,0.4,0.15
7,1,3,1.38,0.63,0.4,0.15
8,2,0,1.8,-0.63,0.4,0.15
9,2,1,1.8,-0.21,0.4,0.15
10,2,2,1.8,0.21,0.4,0.15
11,2,3,1.8,0.63,0.4,0.15
12,3,0,2.22,-0.63,0.4,0.15
13,3,1,2.22,-0.21,0.4,0.15
14,3,2,2.22,0.21,0.4,0.15
15,3,3,2.22,0.63,0.4,0.15
16,4,0,2.64,-0.63,0.4,0.15
17,4,1,2.64,-0.21,0.4,0.15
18,4,2,2.64,0.21,0.4,0.15
19,4,3,2.64,0.63,0.4,0.15
20,5,0,3.06,-0.63,0.4,0.15
21,5,1,3.06,-0.21,0.4,0.15
22,5,2,3.06,0.21,0.4,0.15
23,5,3,3.06,0.63,0.4,0.15
24,6,0,3.48,-0.63,0.4,0.15
25,6,1,3.48,-0.21,0.4,0.15
26,6,2,3.48,0.21,0.4,0.15
27,6,3,3.48,0.63,0.4,0.15
28,7,0,3.9,-0.63,0.4,0.15
29,7,1,3.9,-0.21,0.4,0.15
30,7,2,3.9,0.21,0.4,0.15
31,7,3,3.9,0.63,0.4,0.15
