idx,ix,iy,cx,cy,size,top_z
0,0,0,0.9055555556,-0.7777777778,0.1666666667,0.1427854244
1,0,1,0.9055555556,-0.4666666667,0.1666666667,0.1291737666
2,0,2,0.9055555556,-0.1555555556,0.1666666667,0.1214157049
3,0,3,0.9055555556,0.1555555556,0.1666666667,0.1152665586
4,0,4,0.9055555556,0.4666666667,0.1666666667,0.1675462283
5,0,5,0.9055555556,0.7777777778,0.1666666667,0.1119999134
6,1,0,1.216666667,-0.7777777778,0.1666666667,0.1710451693
7,1,1,1.216666667,-0.4666666667,0.1666666667,0.1225402946
8,1,2,1.216666667,-0.1555555556,0.1666666667,0.117296162
9,1,3,1.216666667,0.1555555556,0.1666666667,0.118080236
10,1,4,1.216666667,0.4666666667,0.1666666667,0.1633814961
11,1,5,1.216666667,0.7777777778,0.1666666667,0.1301952274
12,2,0,1.527777778,-0.7777777778,0.1666666667,0.1438197363
13,2,1,1.527777778,-0.4666666667,0.1666666667,0.1544620171
14,2,2,1.527777778,-0.1555555556,0.1666666667,0.1780428691
15,2,3,1.527777778,0.1555555556,0.1666666667,0.1676589982
16,2,4,1.527777778,0.4666666667,0.1666666667,0.1321366149
17,2,5,1.527777778,0.7777777778,0.1666666667,0.1213375511
18,3,0,1.838888889,-0.7777777778,0.1666666667,0.1154180027
19,3,1,1.838888889,-0.4666666667,0.1666666667,0.1345687827
20,3,2,1.838888889,-0.1555555556,0.1666666667,0.1314980783
21,3,3,1.838888889,0.1555555556,0.1666666667,0.1465887108
22,3,4,1.838888889,0.4666666667,0.1666666667,0.164255215
23,3,5,1.838888889,0.7777777778,0.1666666667,0.1652153124
24,4,0,2.15,-0.7777777778,0.1666666667,0.133162577
25,4,1,2.15,-0.4666666667,0.1666666667,0.1406609855
26,4,2,2.15,-0.1555555556,0.1666666667,0.1252006304
27,4,3,2.15,0.1555555556,0.1666666667,0.1724424287
28,4,4,2.15,0.4666666667,0.1666666667,0.1155326282
29,4,5,2.15,0.7777777778,0.1666666667,0.1653220077
30,5,0,2.461111111,-0.7777777778,0.1666666667,0.1716763086
31,5,1,2.461111111,-0.4666666667,0.1666666667,0.1715761437
32,5,2,2.461111111,-0.1555555556,0.1666666667,0.1312884217
33,5,3,2.461111111,0.1555555556,0.1666666667,0.1401854663
34,5,4,2.461111111,0.4666666667,0.1666666667,0.156813305
35,5,5,2.461111111,0.7777777778,0.1666666667,0.1323305924
36,6,0,2.772222222,-0.7777777778,0.1666666667,0.1399552177
37,6,1,2.772222222,-0.4666666667,0.1666666667,0.1264375551
38,6,2,2.772222222,-0.1555555556,0.1666666667,0.1468776798
39,6,3,2.772222222,0.1555555556,0.1666666667,0.1145809568
40,6,4,2.772222222,0.4666666667,0.1666666667,0.1733174577
41,6,5,2.772222222,0.7777777778,0.1666666667,0.1170966125
42,7,0,3.083333333,-0.7777777778,0.1666666667,0.151464956
43,7,1,3.083333333,-0.4666666667,0.1666666667,0.1349741189
44,7,2,3.083333333,-0.1555555556,0.1666666667,0.1560311182
45,7,3,3.083333333,0.1555555556,0.1666666667,0.1857337043
46,7,4,3.083333333,0.4666666667,0.1666666667,0.1613221301
47,7,5,3.083333333,0.7777777778,0.1666666667,0.1138615228
48,8,0,3.394444444,-0.7777777778,0.1666666667,0.1445868564
49,8,1,3.394444444,-0.4666666667,0.1666666667,0.1507790885
50,8,2,3.394444444,-0.1555555556,0.1666666667,0.1528138051
51,8,3,3.394444444,0.1555555556,0.1666666667,0.1641083064
52,8,4,3.394444444,0.4666666667,0.1666666667,0.1327019187
53,8,5,3.394444444,0.7777777778,0.1666666667,0.1211335995
54,9,0,3.705555556,-0.7777777778,0.1666666667,0.1416525526
55,9,1,3.705555556,-0.4666666667,0.1666666667,0.1854982229
56,9,2,3.705555556,-0.1555555556,0.1666666667,0.125665736
57,9,3,3.705555556,0.1555555556,0.1666666667,0.1814209743
58,9,4,3.705555556,0.4666666667,0.1666666667,0.1534071295
59,9,5,3.705555556,0.7777777778,0.1666666667,0.1466486661
60,10,0,4.016666667,-0.7777777778,0.1666666667,0.1797143319
61,10,1,4.016666667,-0.4666666667,0.1666666667,0.1467803081
62,10,2,4.016666667,-0.1555555556,0.1666666667,0.1674352606
63,10,3,4.016666667,0.1555555556,0.1666666667,0.1421464139
64,10,4,4.016666667,0.4666666667,0.1666666667,0.181425675
65,10,5,4.016666667,0.7777777778,0.1666666667,0.1647797238
