idx,ix,iy,cx,cy,size,top_z
0,0,0,0.8977777778,-0.7388888889,0.1333333333,0.3787367555
1,0,1,0.8977777778,-0.4433333333,0.1333333333,0.3811022772
2,0,2,0.8977777778,-0.1477777778,0.1333333333,0.1351997927
3,0,3,0.8977777778,0.1477777778,0.1333333333,0.1351997927
4,0,4,0.8977777778,0.4433333333,0.1333333333,0.3860311913
5,0,5,0.8977777778,0.7388888889,0.1333333333,0.3750208339
6,1,0,1.193333333,-0.7388888889,0.1333333333,0.3760613985
7,1,1,1.193333333,-0.4433333333,0.1333333333,0.1406079129
8,1,2,1.193333333,-0.1477777778,0.1333333333,0.1527109734
9,1,3,1.193333333,0.1477777778,0.1333333333,0.1527109734
10,1,4,1.193333333,0.4433333333,0.1333333333,0.4270913451
11,1,5,1.193333333,0.7388888889,0.1333333333,0.3760605168
12,2,0,1.488888889,-0.7388888889,0.1333333333,0.4153549272
13,2,1,1.488888889,-0.4433333333,0.1333333333,0.1703145615
14,2,2,1.488888889,-0.1477777778,0.1333333333,0.1930239923
15,2,3,1.488888889,0.1477777778,0.1333333333,0.1930239923
16,2,4,1.488888889,0.4433333333,0.1333333333,0.4293745183
17,2,5,1.488888889,0.7388888889,0.1333333333,0.4223434877
18,3,0,1.784444444,-0.7388888889,0.1333333333,0.4004604739
19,3,1,1.784444444,-0.4433333333,0.1333333333,0.1699362125
20,3,2,1.784444444,-0.1477777778,0.1333333333,0.1753814387
21,3,3,1.784444444,0.1477777778,0.1333333333,0.1753814387
22,3,4,1.784444444,0.4433333333,0.1333333333,0.4174484225
23,3,5,1.784444444,0.7388888889,0.1333333333,0.4116438776
24,4,0,2.08,-0.7388888889,0.1333333333,0.2007170774
25,4,1,2.08,-0.4433333333,0.1333333333,0.4498109853
26,4,2,2.08,-0.1477777778,0.1333333333,0.1799547166
27,4,3,2.08,0.1477777778,0.1333333333,0.1799547166
28,4,4,2.08,0.4433333333,0.1333333333,0.4411547326
29,4,5,2.08,0.7388888889,0.1333333333,0.4011308132
30,5,0,2.375555556,-0.7388888889,0.1333333333,0.4665489228
31,5,1,2.375555556,-0.4433333333,0.1333333333,0.4643523547
32,5,2,2.375555556,-0.1477777778,0.1333333333,0.2257693507
33,5,3,2.375555556,0.1477777778,0.1333333333,0.2257693507
34,5,4,2.375555556,0.4433333333,0.1333333333,0.4634260618
35,5,5,2.375555556,0.7388888889,0.1333333333,0.4653816083
36,6,0,2.671111111,-0.7388888889,0.1333333333,0.4113842353
37,6,1,2.671111111,-0.4433333333,0.1333333333,0.4624243234
38,6,2,2.671111111,-0.1477777778,0.1333333333,0.178592191
39,6,3,2.671111111,0.1477777778,0.1333333333,0.178592191
40,6,4,2.671111111,0.4433333333,0.1333333333,0.4689176268
41,6,5,2.671111111,0.7388888889,0.1333333333,0.4168958836
42,7,0,2.966666667,-0.7388888889,0.1333333333,0.4475244881
43,7,1,2.966666667,-0.4433333333,0.1333333333,0.4621181
44,7,2,2.966666667,-0.1477777778,0.1333333333,0.2167489726
45,7,3,2.966666667,0.1477777778,0.1333333333,0.2167489726
46,7,4,2.966666667,0.4433333333,0.1333333333,0.4762226283
47,7,5,2.966666667,0.7388888889,0.1333333333,0.4415068203
48,8,0,3.262222222,-0.7388888889,0.1333333333,0.2711350742
49,8,1,3.262222222,-0.4433333333,0.1333333333,0.4721908039
50,8,2,3.262222222,-0.1477777778,0.1333333333,0.2439598568
51,8,3,3.262222222,0.1477777778,0.1333333333,0.2439598568
52,8,4,3.262222222,0.4433333333,0.1333333333,0.4685260955
53,8,5,3.262222222,0.7388888889,0.1333333333,0.4599849795
54,9,0,3.557777778,-0.7388888889,0.1333333333,0.2154634404
55,9,1,3.557777778,-0.4433333333,0.1333333333,0.4706613654
56,9,2,3.557777778,-0.1477777778,0.1333333333,0.2388527765
57,9,3,3.557777778,0.1477777778,0.1333333333,0.2388527765
58,9,4,3.557777778,0.4433333333,0.1333333333,0.4870066446
59,9,5,3.557777778,0.7388888889,0.1333333333,0.47404807
60,10,0,3.853333333,-0.7388888889,0.1333333333,0.4918862705
61,10,1,3.853333333,-0.4433333333,0.1333333333,0.4827626148
62,10,2,3.853333333,-0.1477777778,0.1333333333,0.2554736516
63,10,3,3.853333333,0.1477777778,0.1333333333,0.2554736516
64,10,4,3.853333333,0.4433333333,0.1333333333,0.4716686381
65,10,5,3.853333333,0.7388888889,0.1333333333,0.4907648003
