idx,ix,iy,cx,cy,size,top_z
0,0,0,1.009071004,-0.3645900812,0.3233600751,0.1641490829
1,1,0,1.310771095,0.03781746537,0.3028361395,0.1576208153
2,2,0,1.600168463,-0.3377311273,0.3010175908,0.1436277215
3,3,0,1.887146823,0.008916180359,0.3286966424,0.1317413874
4,4,0,2.289773183,-0.3166129479,0.3135208946,0.1250017041
5,5,0,2.572105178,0.08730230502,0.3161843525,0.1366240662
6,6,0,2.873075911,-0.274593712,0.3154347475,0.1628396088
7,7,0,3.176923908,0.08831202514,0.3233487517,0.1794938806
8,8,0,3.525842232,-0.2792687198,0.3031527326,0.2153688219
9,9,0,3.889356973,-0.02165037113,0.3271858108,0.2293848534
10,0,1,0.9791794373,0.2897541314,0.3130874603,0.1625165642
11,1,1,1.43217112,0.3947720693,0.3275905656,0.1510003081
12,2,1,1.8012011,0.432637779,0.3045342387,0.13506431
13,3,1,2.17609599,0.360948135,0.3151459868,0.1222177713
14,4,1,2.642053136,0.4522004042,0.3316102246,0.1429043279
15,5,1,3.115726928,0.4339497648,0.3175176505,0.176139601
16,6,1,3.599848858,0.4144577018,0.3088475334,0.2196167199
17,7,1,3.942712844,0.4182145241,0.3018991351,0.2334252617
18,-1,2,0.8394145726,-0.07825622659,0.1583333333,0.357732611
19,-1,2,1.627282939,0.1211591333,0.1583333333,0.5133625709
20,-1,2,1.920925838,-0.2615368398,0.1583333333,0.3511939435
21,-1,2,2.149709346,0.07873272639,0.1583333333,0.3330326147
22,-1,2,2.836069736,0.1423723367,0.1583333333,0.3719137673
23,-1,2,3.142139041,-0.1627500432,0.1583333333,0.55
24,-1,2,3.466991855,-0.03547082262,0.1583333333,0.4285644435
25,-1,2,4.156069736,0.1423723367,0.1583333333,0.03989297061
26,-1,3,0.9073779486,-0.7196282148,0.2560397735,0.1437203015
27,-1,3,3.441242789,-0.8415464899,0.2689518121,0.1792616493
28,-1,3,1.068374312,0.665105308,0.302036929,0.1804480295
29,-1,3,3.871535129,0.8281933628,0.3143379729,0.2079170908
30,-1,3,3.938145477,-0.4212122229,0.2896913175,0.2408909861
31,-1,3,1.652302327,-0.7963229615,0.2916769405,0.1724713975
32,-1,3,2.472364985,-0.7383883772,0.3152125012,0.1108978745
33,-1,3,2.596924177,0.8510304696,0.2554097853,0.1281823883
34,-1,3,1.788480308,0.7605254295,0.2694921464,0.1234354134
