idx,ix,iy,cx,cy,size,top_z
0,0,0,0.8552188962,0.03828676671,0.2480613404,0.1424318617
1,1,0,1.044538672,-0.2675369189,0.2455883878,0.1288145524
2,2,0,1.233387805,-0.00215092826,0.2283380648,0.1176000957
3,3,0,1.448966649,-0.2760166205,0.2324587955,0.1059227694
4,4,0,1.641095395,0.02057287078,0.2314414302,0.1250668508
5,5,0,1.821370948,-0.282948061,0.2430893445,0.1429774693
6,6,0,2.012476667,0.004492479693,0.2477906041,0.1603692866
7,7,0,2.218746393,-0.2687415392,0.2383770244,0.1744544191
8,8,0,2.401534901,0.03815460449,0.2452936211,0.1786279268
9,9,0,2.586210647,-0.2620589771,0.2287751322,0.190292065
10,10,0,2.77937801,0.03589220473,0.2362572958,0.2113898334
11,11,0,2.974924841,-0.269536139,0.2430018805,0.2267875377
12,12,0,3.162345132,-0.01634432037,0.2312222724,0.2383161093
13,13,0,3.353991835,-0.3197274677,0.2379628037,0.2246058498
14,14,0,3.534911801,-0.01324360977,0.2379393426,0.2057768623
15,15,0,3.728033345,-0.3163836751,0.2450136717,0.219242836
16,16,0,3.917133118,-0.007322123856,0.2347472937,0.232826896
17,0,1,0.9687053359,0.2947875065,0.2463150194,0.1342690591
18,1,1,1.186321748,0.02147862322,0.2488766376,0.1201495375
19,2,1,1.376756679,0.312432349,0.2365808586,0.1098341893
20,3,1,1.564215636,0.004186559963,0.2473645586,0.1173424594
21,4,1,1.764078892,0.2879678667,0.2360820711,0.1374234537
22,5,1,1.961631352,-0.01610815613,0.2283711014,0.1557420444
23,6,1,2.159706384,0.2640607111,0.2499066127,0.1731063915
24,7,1,2.390549712,0.0145361481,0.2453724038,0.1783771081
25,8,1,2.593468082,0.3024317225,0.2382962848,0.1910847232
26,9,1,2.795179768,0.007803224618,0.2486435797,0.2131157038
27,10,1,2.978670842,0.3130685155,0.2493285372,0.2270179612
28,11,1,3.172907723,0.01103223158,0.2290709982,0.238965834
29,12,1,3.371685593,0.2811975543,0.2370076489,0.2227643972
30,13,1,3.554926069,0.0188547087,0.2411047677,0.2046226231
31,14,1,3.764062032,0.3079104393,0.237938693,0.2222857298
32,15,1,3.94716931,0.00696802485,0.2351553666,0.231179293
33,-1,2,4.1894,0.1411618704,0.1076067384,0.421600724
34,-1,2,4.135774962,-0.1418958369,0.1076067384,0.02058781989
35,-1,2,0.8040592335,-0.1701801081,0.1076067384,0.5092690567
36,-1,2,3.175412871,0.1959480172,0.1076067384,0.4215054765
37,-1,2,1.948394949,0.2401568198,0.1076067384,0.3827897701
38,-1,2,2.402199282,-0.2712389715,0.1076067384,0.4130855824
39,-1,2,1.635003826,-0.2524023837,0.1076067384,0.5429322296
40,-1,2,2.592361006,0.08572909845,0.1076067384,0.55
41,-1,2,2.76648564,-0.212606515,0.1076067384,0.4265969055
42,-1,2,3.925778652,-0.2263896535,0.1076067384,0.55
43,-1,2,4.0094,0.2011618704,0.1076067384,0.4123235213
44,-1,2,1.243352245,-0.1839632467,0.1076067384,0.342775022
45,-1,2,1.156684411,0.2162826993,0.1076067384,0.3313397326
46,-1,2,2.364338079,0.23476029,0.1076067384,0.4171234494
47,-1,2,3.556684411,0.2162826993,0.1076067384,0.4261248001
48,-1,2,1.575455061,0.2162826993,0.1076067384,0.370544925
49,-1,2,2.032343505,-0.1984643794,0.1076067384,0.55
50,-1,3,2.289389662,-0.7722637678,0.219416065,0.1417596227
51,-1,3,4.049035648,-0.7141165261,0.2010735703,0.1927376898
52,-1,3,2.146258917,0.6392252887,0.2104111815,0.1438561197
53,-1,3,4.007902111,0.656113026,0.191880366,0.1952090376
54,-1,3,1.413287539,-0.8202704752,0.2305452172,0.1047771318
55,-1,3,3.212001722,0.6888183669,0.222033257,0.2398440119
56,-1,3,3.427245288,-0.8656287779,0.2324728404,0.2283081795
57,-1,3,0.905146666,0.8113514688,0.2376670892,0.1546104326
58,-1,3,1.503692365,0.8818284349,0.2223854452,0.08152980139
