idx,ix,iy,cx,cy,size,top_z
0,0,0,0.89,-0.84,0.1,0.1554687809
1,0,1,0.89,-0.56,0.1,0.128705152
2,0,2,0.89,-0.28,0.1,0.1706574706
3,0,3,0.89,0,0.1,0.1414856869
4,0,4,0.89,0.28,0.1,0.136054556
5,0,5,0.89,0.56,0.1,0.1828656915
6,0,6,0.89,0.84,0.1,0.1924966912
7,1,0,1.17,-0.84,0.1,0.1046007311
8,1,1,1.17,-0.56,0.1,0.1232626993
9,1,2,1.17,-0.28,0.1,0.1348519369
10,1,3,1.17,0,0.1,0.1814966479
11,1,4,1.17,0.28,0.1,0.1985491428
12,1,5,1.17,0.56,0.1,0.1968971705
13,1,6,1.17,0.84,0.1,0.1904948346
14,2,0,1.45,-0.84,0.1,0.1296556265
15,2,1,1.45,-0.56,0.1,0.1992011243
16,2,2,1.45,-0.28,0.1,0.1249420041
17,2,3,1.45,0,0.1,0.1105906155
18,2,4,1.45,0.28,0.1,0.1950952611
19,2,5,1.45,0.56,0.1,0.1233420255
20,2,6,1.45,0.84,0.1,0.1689768265
21,3,0,1.73,-0.84,0.1,0.1058356359
22,3,1,1.73,-0.56,0.1,0.1730709099
23,3,2,1.73,-0.28,0.1,0.1881720212
24,3,3,1.73,0,0.1,0.1272436895
25,3,4,1.73,0.28,0.1,0.1379056896
26,3,5,1.73,0.56,0.1,0.1374296183
27,3,6,1.73,0.84,0.1,0.1748788258
28,4,0,2.01,-0.84,0.1,0.1237807243
29,4,1,2.01,-0.56,0.1,0.1171853099
30,4,2,2.01,-0.28,0.1,0.1449291649
31,4,3,2.01,0,0.1,0.1304468407
32,4,4,2.01,0.28,0.1,0.1839189122
33,4,5,2.01,0.56,0.1,0.1237741826
34,4,6,2.01,0.84,0.1,0.1502389457
35,5,0,2.29,-0.84,0.1,0.19425836
36,5,1,2.29,-0.56,0.1,0.1633997698
37,5,2,2.29,-0.28,0.1,0.1867289405
38,5,3,2.29,0,0.1,0.1940209689
39,5,4,2.29,0.28,0.1,0.1750764862
40,5,5,2.29,0.56,0.1,0.169957506
41,5,6,2.29,0.84,0.1,0.1967965567
42,6,0,2.57,-0.84,0.1,0.199440079
43,6,1,2.57,-0.56,0.1,0.1451821683
44,6,2,2.57,-0.28,0.1,0.1070869778
45,6,3,2.57,0,0.1,0.1292794031
46,6,4,2.57,0.28,0.1,0.1152354706
47,6,5,2.57,0.56,0.1,0.1417486375
48,6,6,2.57,0.84,0.1,0.1131289328
49,7,0,2.85,-0.84,0.1,0.1604117804
50,7,1,2.85,-0.56,0.1,0.1382808059
51,7,2,2.85,-0.28,0.1,0.1895385884
52,7,3,2.85,0,0.1,0.1967794672
53,7,4,2.85,0.28,0.1,0.1546884902
54,7,5,2.85,0.56,0.1,0.127482357
55,7,6,2.85,0.84,0.1,0.1592230419
56,8,0,3.13,-0.84,0.1,0.1896761158
57,8,1,3.13,-0.56,0.1,0.1406733346
58,8,2,3.13,-0.28,0.1,0.1552078277
59,8,3,3.13,0,0.1,0.1271652768
60,8,4,3.13,0.28,0.1,0.1455444149
61,8,5,3.13,0.56,0.1,0.1401713535
62,8,6,3.13,0.84,0.1,0.1248413465
63,9,0,3.41,-0.84,0.1,0.1505866384
64,9,1,3.41,-0.56,0.1,0.1310380826
65,9,2,3.41,-0.28,0.1,0.1373034864
66,9,3,3.41,0,0.1,0.1524970442
67,9,4,3.41,0.28,0.1,0.1750595023
68,9,5,3.41,0.56,0.1,0.1333507466
69,9,6,3.41,0.84,0.1,0.1924158767
70,10,0,3.69,-0.84,0.1,0.1862318547
71,10,1,3.69,-0.56,0.1,0.1048690296
72,10,2,3.69,-0.28,0.1,0.1253642524
73,10,3,3.69,0,0.1,0.1446135513
74,10,4,3.69,0.28,0.1,0.1104627889
75,10,5,3.69,0.56,0.1,0.1348475989
76,10,6,3.69,0.84,0.1,0.1740097526
77,11,0,3.97,-0.84,0.1,0.1680514481
78,11,1,3.97,-0.56,0.1,0.1622384429
79,11,2,3.97,-0.28,0.1,0.1710528403
80,11,3,3.97,0,0.1,0.1204923687
81,11,4,3.97,0.28,0.1,0.1341698115
82,11,5,3.97,0.56,0.1,0.1676242482
83,11,6,3.97,0.84,0.1,0.1879234763
