idx,ix,iy,cx,cy,size,top_z
0,0,0,0.9444444444,-0.7777777778,0.3333333333,0.1599136726
1,0,1,0.9444444444,-0.3888888889,0.3333333333,0.1401197813
2,0,2,0.9444444444,0,0.3333333333,0.1504773762
3,0,3,0.9444444444,0.3888888889,0.3333333333,0.1575658059
4,0,4,0.9444444444,0.7777777778,0.3333333333,0.1476258438
5,1,0,1.333333333,-0.7777777778,0.3333333333,0.1524125954
6,1,1,1.333333333,-0.3888888889,0.3333333333,0.1861930257
7,1,2,1.333333333,0,0.3333333333,0.1622740845
8,1,3,1.333333333,0.3888888889,0.3333333333,0.1665311895
9,1,4,1.333333333,0.7777777778,0.3333333333,0.14788192
10,2,0,1.722222222,-0.7777777778,0.3333333333,0.1458930699
11,2,1,1.722222222,-0.3888888889,0.3333333333,0.1438052947
12,2,2,1.722222222,0,0.3333333333,0.1737277461
13,2,3,1.722222222,0.3888888889,0.3333333333,0.170124871
14,2,4,1.722222222,0.7777777778,0.3333333333,0.1949029349
15,3,0,2.111111111,-0.7777777778,0.3333333333,0.1802835419
16,3,1,2.111111111,-0.3888888889,0.3333333333,0.2026050258
17,3,2,2.111111111,0,0.3333333333,0.1590144176
18,3,3,2.111111111,0.3888888889,0.3333333333,0.1707309679
19,3,4,2.111111111,0.7777777778,0.3333333333,0.1693389107
20,4,0,2.5,-0.7777777778,0.3333333333,0.1956704801
21,4,1,2.5,-0.3888888889,0.3333333333,0.1428617509
22,4,2,2.5,0,0.3333333333,0.1862518455
23,4,3,2.5,0.3888888889,0.3333333333,0.1707429675
24,4,4,2.5,0.7777777778,0.3333333333,0.3919308003
25,5,0,2.888888889,-0.7777777778,0.3333333333,0.1971208689
26,5,1,2.888888889,-0.3888888889,0.3333333333,0.3836964107
27,5,2,2.888888889,0,0.3333333333,0.1735020243
28,5,3,2.888888889,0.3888888889,0.3333333333,0.180986935
29,5,4,2.888888889,0.7777777778,0.3333333333,0.1624551545
30,6,0,3.277777778,-0.7777777778,0.3333333333,0.2197433684
31,6,1,3.277777778,-0.3888888889,0.3333333333,0.2068968611
32,6,2,3.277777778,0,0.3333333333,0.201071229
33,6,3,3.277777778,0.3888888889,0.3333333333,0.4372309627
34,6,4,3.277777778,0.7777777778,0.3333333333,0.1890609943
35,7,0,3.666666667,-0.7777777778,0.3333333333,0.2706065384
36,7,1,3.666666667,-0.3888888889,0.3333333333,0.2464083453
37,7,2,3.666666667,0,0.3333333333,0.2419774355
38,7,3,3.666666667,0.3888888889,0.3333333333,0.1969262894
39,7,4,3.666666667,0.7777777778,0.3333333333,0.0505006647
