idx,ix,iy,cx,cy,size,top_z
0,0,0,0.9288888889,-0.7155555556,0.2666666667,0.1721709781
1,0,1,0.9288888889,-0.3577777778,0.2666666667,0.1344199247
2,0,2,0.9288888889,0,0.2666666667,0.1663611581
3,0,3,0.9288888889,0.3577777778,0.2666666667,0.134999686
4,0,4,0.9288888889,0.7155555556,0.2666666667,0.1551359806
5,1,0,1.286666667,-0.7155555556,0.2666666667,0.1332808881
6,1,1,1.286666667,-0.3577777778,0.2666666667,0.1654670324
7,1,2,1.286666667,0,0.2666666667,0.1636586204
8,1,3,1.286666667,0.3577777778,0.2666666667,0.1530711439
9,1,4,1.286666667,0.7155555556,0.2666666667,0.1458748132
10,2,0,1.644444444,-0.7155555556,0.2666666667,0.1308518665
11,2,1,1.644444444,-0.3577777778,0.2666666667,0.1587746121
12,2,2,1.644444444,0,0.2666666667,0.1479352303
13,2,3,1.644444444,0.3577777778,0.2666666667,0.1598691378
14,2,4,1.644444444,0.7155555556,0.2666666667,0.1662836589
15,3,0,2.002222222,-0.7155555556,0.2666666667,0.1711342891
16,3,1,2.002222222,-0.3577777778,0.2666666667,0.1658134819
17,3,2,2.002222222,0,0.2666666667,0.1282984037
18,3,3,2.002222222,0.3577777778,0.2666666667,0.1437768029
19,3,4,2.002222222,0.7155555556,0.2666666667,0.1602218028
20,4,0,2.36,-0.7155555556,0.2666666667,0.1354057634
21,4,1,2.36,-0.3577777778,0.2666666667,0.1509349603
22,4,2,2.36,0,0.2666666667,0.1301927995
23,4,3,2.36,0.3577777778,0.2666666667,0.1366665122
24,4,4,2.36,0.7155555556,0.2666666667,0.1286009686
25,5,0,2.717777778,-0.7155555556,0.2666666667,0.1630532313
26,5,1,2.717777778,-0.3577777778,0.2666666667,0.1377299861
27,5,2,2.717777778,0,0.2666666667,0.1431267414
28,5,3,2.717777778,0.3577777778,0.2666666667,0.1690258353
29,5,4,2.717777778,0.7155555556,0.2666666667,0.1590850845
30,6,0,3.075555556,-0.7155555556,0.2666666667,0.1291928413
31,6,1,3.075555556,-0.3577777778,0.2666666667,0.1350975181
32,6,2,3.075555556,0,0.2666666667,0.1553990401
33,6,3,3.075555556,0.3577777778,0.2666666667,0.1534323817
34,6,4,3.075555556,0.7155555556,0.2666666667,0.1383507921
35,7,0,3.433333333,-0.7155555556,0.2666666667,0.1692983999
36,7,1,3.433333333,-0.3577777778,0.2666666667,0.1550651536
37,7,2,3.433333333,0,0.2666666667,0.1515836801
38,7,3,3.433333333,0.3577777778,0.2666666667,0.1539959989
39,7,4,3.433333333,0.7155555556,0.2666666667,0.1602276458
40,8,0,3.791111111,-0.7155555556,0.2666666667,0.1416419998
41,8,1,3.791111111,-0.3577777778,0.2666666667,0.1454764917
42,8,2,3.791111111,0,0.2666666667,0.1371041666
43,8,3,3.791111111,0.3577777778,0.2666666667,0.1360530225
44,8,4,3.791111111,0.7155555556,0.2666666667,0.169749884
