idx,ix,iy,cx,cy,size,top_z
0,0,0,0.96,-0.63,0.4,0.1586955455
1,0,1,0.96,-0.21,0.4,0.1288133314
2,0,2,0.96,0.21,0.4,0.1288133314
3,0,3,0.96,0.63,0.4,0.1624985836
4,1,0,1.38,-0.63,0.4,0.1465518555
5,1,1,1.38,-0.21,0.4,0.1746102414
6,1,2,1.38,0.21,0.4,0.1746102414
7,1,3,1.38,0.63,0.4,0.1393470719
8,2,0,1.8,-0.63,0.4,0.1685784703
9,2,1,1.8,-0.21,0.4,0.1294013162
10,2,2,1.8,0.21,0.4,0.1294013162
11,2,3,1.8,0.63,0.4,0.1268742082
12,3,0,2.22,-0.63,0.4,0.1379902092
13,3,1,2.22,-0.21,0.4,0.1654935261
14,3,2,2.22,0.21,0.4,0.1654935261
15,3,3,2.22,0.63,0.4,0.1692523338
16,4,0,2.64,-0.63,0.4,0.184911844
17,4,1,2.64,-0.21,0.4,0.1706726939
18,4,2,2.64,0.21,0.4,0.1706726939
19,4,3,2.64,0.63,0.4,0.1973623176
20,5,0,3.06,-0.63,0.4,0.1930366798
21,5,1,3.06,-0.21,0.4,0.167219849
22,5,2,3.06,0.21,0.4,0.167219849
23,5,3,3.06,0.63,0.4,0.1826418836
24,6,0,3.48,-0.63,0.4,0.2054928384
25,6,1,3.48,-0.21,0.4,0.2161992278
26,6,2,3.48,0.21,0.4,0.2161992278
27,6,3,3.48,0.63,0.4,0.2099137256
28,7,0,3.9,-0.63,0.4,0.2607555713
29,7,1,3.9,-0.21,0.4,0.2551115985
30,7,2,3.9,0.21,0.4,0.2551115985
31,7,3,3.9,0.63,0.4,0.2574289876
